Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-16,MARUTI,EQ,7166.25,7166.0,7193.75,7070.0,7108.5,7114.25,7119.34,283007,201482331520000.0,45004,128623,0.4545
2021-06-17,MARUTI,EQ,7114.25,7060.0,7099.1,6931.1,6955.0,6969.35,7009.75,595255,417258665180000.0,66183,333094,0.5596
2021-06-18,MARUTI,EQ,6969.35,6989.85,6989.85,6821.0,6960.0,6959.35,6913.65,797389,551286885735000.06,97087,412856,0.5178
2021-06-21,MARUTI,EQ,6959.35,6870.0,6925.0,6842.0,6890.1,6899.9,6886.61,443795,305624129700000.0,60269,249341,0.5618
2021-06-22,MARUTI,EQ,6899.9,6940.0,7299.95,6930.0,7257.5,7265.4,7201.24,1757310,1265480472760000.0,171579,549897,0.3129
2021-06-23,MARUTI,EQ,7265.4,7266.1,7479.0,7240.05,7432.1,7432.7,7417.45,2227399,1652161355570000.0,221087,1032732,0.4636
2021-06-24,MARUTI,EQ,7432.7,7448.8,7550.0,7410.1,7531.0,7527.45,7497.38,1041762,781048998145000.0,95406,457296,0.439
2021-06-25,MARUTI,EQ,7527.45,7540.0,7665.0,7540.0,7623.0,7649.0,7627.1,1216123,927549338590000.0,114428,707447,0.5817
2021-06-28,MARUTI,EQ,7649.0,7698.0,7698.0,7571.4,7596.0,7596.25,7608.92,433364,329743160465000.0,50498,163967,0.37840000000000007
2021-06-29,MARUTI,EQ,7596.25,7596.0,7601.0,7452.55,7503.0,7487.5,7502.99,480219,360307896005000.0,52711,205273,0.4275
2021-06-30,MARUTI,EQ,7487.5,7505.5,7646.6,7492.6,7539.9,7515.9,7557.97,729267,551177563630000.0,94722,332638,0.4561
2021-07-01,MARUTI,EQ,7515.9,7500.0,7605.0,7495.05,7584.55,7584.4,7563.96,584331,441985825550000.0,57959,255187,0.43670000000000003
2021-07-02,MARUTI,EQ,7584.4,7625.0,7634.5,7546.55,7564.0,7573.85,7577.27,434905,329539357050000.0,48194,238506,0.5484
2021-07-05,MARUTI,EQ,7573.85,7596.3,7690.0,7583.0,7591.95,7599.45,7629.31,484183,369398081445000.0,47506,181475,0.37479999999999997
2021-07-06,MARUTI,EQ,7599.45,7600.0,7657.95,7487.45,7508.5,7514.95,7567.52,425103,321697339170000.0,41040,118295,0.2783
2021-07-07,MARUTI,EQ,7514.95,7528.0,7581.0,7433.65,7450.0,7449.4,7486.85,395336,295982317985000.0,44726,181681,0.4596
2021-07-08,MARUTI,EQ,7449.4,7455.0,7498.0,7385.0,7400.0,7401.2,7426.17,391940,291061297625000.0,40411,121213,0.3093
2021-07-09,MARUTI,EQ,7401.2,7381.0,7447.9,7343.4,7423.0,7425.7,7401.23,400686,296556818470000.0,53081,180958,0.4516
2021-07-12,MARUTI,EQ,7425.7,7500.0,7589.8,7451.05,7467.0,7470.1,7519.78,496478,373340727495000.0,55325,109130,0.2198
2021-07-13,MARUTI,EQ,7470.1,7520.0,7529.2,7404.0,7433.1,7430.35,7442.7,350032,260518142850000.0,43258,160054,0.4573
